"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","deg_set"
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","1/3","193/11892",0.00518134715025907,20.5388601036269,4.34711031043269,0.0479062513239517,0.057487501588742,0.0100855265945161,"101244003",1,"root_cond_Endodermis_down"
"Metabolism","Biosynthesis of other secondary metabolites","sly00960","Tropane, piperidine and pyridine alkaloid biosynthesis","2/5","40/11892",0.05,118.92,15.3207386836242,0.000109615746638211,0.00109615746638211,0.0004615399858451,"101245061/101254319",2,"root_cond_Endodermis_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00950","Isoquinoline alkaloid biosynthesis","1/5","30/11892",0.0333333333333333,79.28,8.80421308086847,0.012552142215713,0.0464319845515898,0.0195503092848799,"101254319",1,"root_cond_Endodermis_up"
"Metabolism","Amino acid metabolism","sly00350","Tyrosine metabolism","1/5","53/11892",0.0188679245283019,44.8754716981132,6.56538628246232,0.0220898251989441,0.0464319845515898,0.0195503092848799,"101254319",1,"root_cond_Endodermis_up"
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","1/5","60/11892",0.0166666666666667,39.64,6.15377655419809,0.0249779217889513,0.0464319845515898,0.0195503092848799,"101254319",1,"root_cond_Endodermis_up"
"Metabolism","Metabolism of other amino acids","sly00410","beta-Alanine metabolism","1/5","60/11892",0.0166666666666667,39.64,6.15377655419809,0.0249779217889513,0.0464319845515898,0.0195503092848799,"101254319",1,"root_cond_Endodermis_up"
"Metabolism","Amino acid metabolism","sly00260","Glycine, serine and threonine metabolism","1/5","67/11892",0.0149253731343284,35.4985074626866,5.80757989693402,0.0278591907309539,0.0464319845515898,0.0195503092848799,"101254319",1,"root_cond_Endodermis_up"
"Cellular Processes","Transport and catabolism","sly04144","Endocytosis","1/5","167/11892",0.00598802395209581,14.2419161676647,3.53435935641678,0.0682818592089283,0.0872980480880497,0.0367570728791788,"101268402",1,"root_cond_Endodermis_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00940","Phenylpropanoid biosynthesis","1/5","179/11892",0.00558659217877095,13.2871508379888,3.39704808211895,0.0730407740201362,0.0872980480880497,0.0367570728791788,"101249975",1,"root_cond_Endodermis_up"
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","1/5","193/11892",0.00518134715025907,12.3233160621762,3.25263981725144,0.0785682432792447,0.0872980480880497,0.0367570728791788,"101245906",1,"root_cond_Endodermis_up"
"Cellular Processes","Cell motility","sly04814","Motor proteins","1/2","80/11892",0.0125,74.325,8.53431377243681,0.0134097297000053,0.0402291891000159,0.014115504947374,"101245463",1,"root_cond_Epidermis_down"
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","1/2","193/11892",0.00518134715025907,30.8082901554404,5.41470261144126,0.0321967451689995,0.0482951177534993,0.016945655352105,"101244003",1,"root_cond_Epidermis_down"
"Environmental Information Processing","Signal transduction","sly04075","Plant hormone signal transduction","1/2","437/11892",0.0022883295194508,13.6064073226545,3.48231270387839,0.0721473922946752,0.0721473922946752,0.0253148744893597,"101244003",1,"root_cond_Epidermis_down"
"Metabolism","Biosynthesis of other secondary metabolites","sly00960","Tropane, piperidine and pyridine alkaloid biosynthesis","2/6","40/11892",0.05,99.1,13.9627233564887,0.000164073506560471,0.00147666155904424,0.00017270895427418,"101254319/101245061",2,"root_cond_Epidermis_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00940","Phenylpropanoid biosynthesis","2/6","179/11892",0.0111731843575419,22.145251396648,6.40430856593042,0.00324784836589364,0.0146153176465214,0.00170939387678613,"101264739/101249975",2,"root_cond_Epidermis_up"
"Metabolism","Metabolism of cofactors and vitamins","sly00730","Thiamine metabolism","1/6","23/11892",0.0434782608695652,86.1739130434783,9.18608384024791,0.0115508916391601,0.0338495152743616,0.00395900763442825,"104644459",1,"root_cond_Epidermis_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00950","Isoquinoline alkaloid biosynthesis","1/6","30/11892",0.0333333333333333,66.0666666666667,8.01691313428197,0.0150442290108274,0.0338495152743616,0.00395900763442825,"101254319",1,"root_cond_Epidermis_up"
"Metabolism","Amino acid metabolism","sly00350","Tyrosine metabolism","1/6","53/11892",0.0188679245283019,37.3962264150943,5.9662814180891,0.0264499866580549,0.0375058962517758,0.00438665453237144,"101254319",1,"root_cond_Epidermis_up"
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0375058962517758,0.00438665453237144,"101254319",1,"root_cond_Epidermis_up"
"Metabolism","Metabolism of other amino acids","sly00410","beta-Alanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0375058962517758,0.00438665453237144,"101254319",1,"root_cond_Epidermis_up"
"Metabolism","Amino acid metabolism","sly00260","Glycine, serine and threonine metabolism","1/6","67/11892",0.0149253731343284,29.5820895522388,5.27105750289472,0.033338574446023,0.0375058962517758,0.00438665453237144,"101254319",1,"root_cond_Epidermis_up"
"Cellular Processes","Transport and catabolism","sly04144","Endocytosis","1/6","167/11892",0.00598802395209581,11.8682634730539,3.17781726258966,0.0813715310783745,0.0813715310783745,0.00951713813782157,"101268402",1,"root_cond_Epidermis_up"
"Environmental Information Processing","Signal transduction","sly04075","Plant hormone signal transduction","2/3","437/11892",0.0045766590389016,18.141876430206,5.79960860036638,0.00394359253568002,0.0118307776070401,NA,"101244003/101267730",2,"root_cond_Exodermis_down"
"Metabolism","Biosynthesis of other secondary metabolites","sly00941","Flavonoid biosynthesis","1/3","37/11892",0.027027027027027,107.135135135135,10.2708506345144,0.00930577508103247,0.0139586626215487,NA,"101266223",1,"root_cond_Exodermis_down"
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","1/3","193/11892",0.00518134715025907,20.5388601036269,4.34711031043269,0.0479062513239517,0.0479062513239517,NA,"101244003",1,"root_cond_Exodermis_down"
"Metabolism","Biosynthesis of other secondary metabolites","sly00940","Phenylpropanoid biosynthesis","5/12","179/11892",0.0279329608938547,27.6815642458101,11.4312921255434,5.31292217720403e-07,5.31292217720403e-06,3.91478476215034e-06,"101244668/101266746/101249975/101246070/101244376",5,"root_cond_Exodermis_up"
"Metabolism","Lipid metabolism","sly00591","Linoleic acid metabolism","1/12","18/11892",0.0555555555555556,55.0555555555556,7.29406547919271,0.0180212890542661,0.0901064452713307,0.0663942228315068,"101263535",1,"root_cond_Exodermis_up"
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","1/1","193/11892",0.00518134715025907,61.6165803108808,7.78566505257456,0.0162293979145641,0.0324587958291283,NA,"101244003",1,"root_cond_Meristematic_Cortex_down"
"Environmental Information Processing","Signal transduction","sly04075","Plant hormone signal transduction","1/1","437/11892",0.0022883295194508,27.2128146453089,5.11984517786514,0.0367473932055162,0.0367473932055162,NA,"101244003",1,"root_cond_Meristematic_Cortex_down"
"Metabolism","Biosynthesis of other secondary metabolites","sly00960","Tropane, piperidine and pyridine alkaloid biosynthesis","2/6","40/11892",0.05,99.1,13.9627233564887,0.000164073506560471,0.00164073506560471,0.00034541790854836,"101254319/101245061",2,"root_cond_Meristematic_Cortex_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00940","Phenylpropanoid biosynthesis","2/6","179/11892",0.0111731843575419,22.145251396648,6.40430856593042,0.00324784836589364,0.0162392418294682,0.00341878775357226,"101267763/101249975",2,"root_cond_Meristematic_Cortex_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00950","Isoquinoline alkaloid biosynthesis","1/6","30/11892",0.0333333333333333,66.0666666666667,8.01691313428197,0.0150442290108274,0.0416732180575287,0.00877330906474288,"101254319",1,"root_cond_Meristematic_Cortex_up"
"Metabolism","Amino acid metabolism","sly00400","Phenylalanine, tyrosine and tryptophan biosynthesis","1/6","49/11892",0.0204081632653061,40.4489795918367,6.21684301884373,0.024474322427809,0.0416732180575287,0.00877330906474288,"101251350",1,"root_cond_Meristematic_Cortex_up"
"Metabolism","Amino acid metabolism","sly00350","Tyrosine metabolism","1/6","53/11892",0.0188679245283019,37.3962264150943,5.9662814180891,0.0264499866580549,0.0416732180575287,0.00877330906474288,"101254319",1,"root_cond_Meristematic_Cortex_up"
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0416732180575287,0.00877330906474288,"101254319",1,"root_cond_Meristematic_Cortex_up"
"Metabolism","Metabolism of other amino acids","sly00410","beta-Alanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0416732180575287,0.00877330906474288,"101254319",1,"root_cond_Meristematic_Cortex_up"
"Metabolism","Amino acid metabolism","sly00260","Glycine, serine and threonine metabolism","1/6","67/11892",0.0149253731343284,29.5820895522388,5.27105750289472,0.033338574446023,0.0416732180575287,0.00877330906474288,"101254319",1,"root_cond_Meristematic_Cortex_up"
"Cellular Processes","Transport and catabolism","sly04144","Endocytosis","1/6","167/11892",0.00598802395209581,11.8682634730539,3.17781726258966,0.0813715310783745,0.090412812309305,0.0190342762756432,"101268402",1,"root_cond_Meristematic_Cortex_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00960","Tropane, piperidine and pyridine alkaloid biosynthesis","2/8","40/11892",0.05,74.325,12.0519995670097,0.000304968026949873,0.00487948843119796,0.00128407590294683,"101254319/101245061",2,"root_cond_Meristematic_Zone_up"
"Genetic Information Processing","Folding, sorting and degradation","sly04122","Sulfur relay system","1/8","11/11892",0.0909090909090909,135.136363636364,11.5475336055776,0.00737818469285934,0.0589416417520205,0.0155109583557949,"101267426",1,"root_cond_Meristematic_Zone_up"
"Metabolism","Metabolism of cofactors and vitamins","sly00780","Biotin metabolism","1/8","19/11892",0.0526315789473684,78.2368421052632,8.74166052511774,0.0127141762547036,0.0589416417520205,0.0155109583557949,"101252237",1,"root_cond_Meristematic_Zone_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00950","Isoquinoline alkaloid biosynthesis","1/8","30/11892",0.0333333333333333,49.55,6.90786375383793,0.0200101760077299,0.0589416417520205,0.0155109583557949,"101254319",1,"root_cond_Meristematic_Zone_up"
"Metabolism","Metabolism of other amino acids","sly00460","Cyanoamino acid metabolism","1/8","41/11892",0.024390243902439,36.2560975609756,5.86707351592875,0.0272589546267999,0.0589416417520205,0.0155109583557949,"101245157",1,"root_cond_Meristematic_Zone_up"
"Metabolism","Lipid metabolism","sly00061","Fatty acid biosynthesis","1/8","49/11892",0.0204081632653061,30.3367346938775,5.33890029246246,0.0325012838342386,0.0589416417520205,0.0155109583557949,"101252237",1,"root_cond_Meristematic_Zone_up"
"Metabolism","Amino acid metabolism","sly00250","Alanine, aspartate and glutamate metabolism","1/8","53/11892",0.0188679245283019,28.0471698113208,5.12006074689521,0.0351131656869853,0.0589416417520205,0.0155109583557949,"101245157",1,"root_cond_Meristematic_Zone_up"
"Metabolism","Amino acid metabolism","sly00350","Tyrosine metabolism","1/8","53/11892",0.0188679245283019,28.0471698113208,5.12006074689521,0.0351131656869853,0.0589416417520205,0.0155109583557949,"101254319",1,"root_cond_Meristematic_Zone_up"
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","1/8","60/11892",0.0166666666666667,24.775,4.79004873223171,0.0396691155763736,0.0589416417520205,0.0155109583557949,"101254319",1,"root_cond_Meristematic_Zone_up"
"Metabolism","Metabolism of other amino acids","sly00410","beta-Alanine metabolism","1/8","60/11892",0.0166666666666667,24.775,4.79004873223171,0.0396691155763736,0.0589416417520205,0.0155109583557949,"101254319",1,"root_cond_Meristematic_Zone_up"
"Metabolism","Carbohydrate metabolism","sly00052","Galactose metabolism","1/8","66/11892",0.0151515151515152,22.5227272727273,4.54907602020349,0.0435592225012307,0.0589416417520205,0.0155109583557949,"778304",1,"root_cond_Meristematic_Zone_up"
"Metabolism","Amino acid metabolism","sly00260","Glycine, serine and threonine metabolism","1/8","67/11892",0.0149253731343284,22.1865671641791,4.51201237692558,0.0442062313140154,0.0589416417520205,0.0155109583557949,"101254319",1,"root_cond_Meristematic_Zone_up"
"Metabolism","Global and overview maps","sly01212","Fatty acid metabolism","1/8","88/11892",0.0113636363636364,16.8920454545455,3.88221332328332,0.0577052403939683,0.0710218343310379,0.0186899564029047,"101252237",1,"root_cond_Meristematic_Zone_up"
"Cellular Processes","Cell motility","sly04814","Motor proteins","1/1","80/11892",0.0125,148.65,12.1511316345433,0.00672721157080403,0.00672721157080403,NA,"101245463",1,"root_cond_Phloem_down"
"Metabolism","Biosynthesis of other secondary metabolites","sly00960","Tropane, piperidine and pyridine alkaloid biosynthesis","2/6","40/11892",0.05,99.1,13.9627233564887,0.000164073506560471,0.00246110259840707,0.00103625372564508,"101254319/101245061",2,"root_cond_Phloem_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00950","Isoquinoline alkaloid biosynthesis","1/6","30/11892",0.0333333333333333,66.0666666666667,8.01691313428197,0.0150442290108274,0.0714398023843349,0.0300799167934042,"101254319",1,"root_cond_Phloem_up"
"Metabolism","Amino acid metabolism","sly00350","Tyrosine metabolism","1/6","53/11892",0.0188679245283019,37.3962264150943,5.9662814180891,0.0264499866580549,0.0714398023843349,0.0300799167934042,"101254319",1,"root_cond_Phloem_up"
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0714398023843349,0.0300799167934042,"101254319",1,"root_cond_Phloem_up"
"Metabolism","Metabolism of other amino acids","sly00410","beta-Alanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0714398023843349,0.0300799167934042,"101254319",1,"root_cond_Phloem_up"
"Metabolism","Nucleotide metabolism","sly00240","Pyrimidine metabolism","1/6","66/11892",0.0151515151515152,30.030303030303,5.31338825490185,0.0328478833670615,0.0714398023843349,0.0300799167934042,"101260252",1,"root_cond_Phloem_up"
"Metabolism","Amino acid metabolism","sly00260","Glycine, serine and threonine metabolism","1/6","67/11892",0.0149253731343284,29.5820895522388,5.27105750289472,0.033338574446023,0.0714398023843349,0.0300799167934042,"101254319",1,"root_cond_Phloem_up"
"Metabolism","Global and overview maps","sly01232","Nucleotide metabolism","1/6","84/11892",0.0119047619047619,23.5952380952381,4.66912332023148,0.0416486355117206,0.0780911915844761,0.0328805017197794,"101260252",1,"root_cond_Phloem_up"
"Metabolism","Nucleotide metabolism","sly00230","Purine metabolism","1/6","96/11892",0.0104166666666667,20.6458333333333,4.34215819455661,0.0474786462562361,0.0791310770937268,0.0333183482499902,"101260252",1,"root_cond_Phloem_up"
"Cellular Processes","Cell motility","sly04814","Motor proteins","1/2","80/11892",0.0125,74.325,8.53431377243681,0.0134097297000053,0.0402291891000159,0.014115504947374,"101245463",1,"root_cond_Vascular_down"
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","1/2","193/11892",0.00518134715025907,30.8082901554404,5.41470261144126,0.0321967451689995,0.0482951177534993,0.016945655352105,"101244003",1,"root_cond_Vascular_down"
"Environmental Information Processing","Signal transduction","sly04075","Plant hormone signal transduction","1/2","437/11892",0.0022883295194508,13.6064073226545,3.48231270387839,0.0721473922946752,0.0721473922946752,0.0253148744893597,"101244003",1,"root_cond_Vascular_down"
"Metabolism","Biosynthesis of other secondary metabolites","sly00960","Tropane, piperidine and pyridine alkaloid biosynthesis","2/6","40/11892",0.05,99.1,13.9627233564887,0.000164073506560471,0.00164073506560471,0.00034541790854836,"101245061/101254319",2,"root_cond_Vascular_up"
"Genetic Information Processing","Folding, sorting and degradation","sly04122","Sulfur relay system","1/6","11/11892",0.0909090909090909,180.181818181818,13.3576707839973,0.00553829293360708,0.0276914646680354,0.00582978203537588,"101267426",1,"root_cond_Vascular_up"
"Metabolism","Lipid metabolism","sly00591","Linoleic acid metabolism","1/6","18/11892",0.0555555555555556,110.111111111111,10.4081528239751,0.00904933448568046,0.0301644482856015,0.0063504101653898,"101263535",1,"root_cond_Vascular_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00950","Isoquinoline alkaloid biosynthesis","1/6","30/11892",0.0333333333333333,66.0666666666667,8.01691313428197,0.0150442290108274,0.0376105725270684,0.00791801526885651,"101254319",1,"root_cond_Vascular_up"
"Metabolism","Amino acid metabolism","sly00350","Tyrosine metabolism","1/6","53/11892",0.0188679245283019,37.3962264150943,5.9662814180891,0.0264499866580549,0.0416732180575287,0.00877330906474288,"101254319",1,"root_cond_Vascular_up"
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0416732180575287,0.00877330906474288,"101254319",1,"root_cond_Vascular_up"
"Metabolism","Metabolism of other amino acids","sly00410","beta-Alanine metabolism","1/6","60/11892",0.0166666666666667,33.0333333333333,5.58876218084664,0.0298993758726276,0.0416732180575287,0.00877330906474288,"101254319",1,"root_cond_Vascular_up"
"Metabolism","Amino acid metabolism","sly00260","Glycine, serine and threonine metabolism","1/6","67/11892",0.0149253731343284,29.5820895522388,5.27105750289472,0.033338574446023,0.0416732180575287,0.00877330906474288,"101254319",1,"root_cond_Vascular_up"
"Metabolism","Carbohydrate metabolism","sly00010","Glycolysis / Gluconeogenesis","1/6","133/11892",0.0075187969924812,14.9022556390977,3.62237032414343,0.065268795365139,0.0725208837390433,0.0152675544713775,"101246495",1,"root_cond_Vascular_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00940","Phenylpropanoid biosynthesis","1/6","179/11892",0.00558659217877095,11.072625698324,3.05071818873779,0.0869993591509843,0.0869993591509843,0.018315654558102,"101249975",1,"root_cond_Vascular_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00960","Tropane, piperidine and pyridine alkaloid biosynthesis","2/3","40/11892",0.05,198.2,19.8444121455769,3.30252611253812e-05,0.000231176827877668,NA,"101245061/101254319",2,"root_cond_Vascular_WOX4_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00950","Isoquinoline alkaloid biosynthesis","1/3","30/11892",0.0333333333333333,132.133333333333,11.4233089253944,0.00754967024570929,0.0196098889324966,NA,"101254319",1,"root_cond_Vascular_WOX4_up"
"Metabolism","Amino acid metabolism","sly00350","Tyrosine metabolism","1/3","53/11892",0.0188679245283019,74.7924528301887,8.55242992133802,0.0133119473897264,0.0196098889324966,NA,"101254319",1,"root_cond_Vascular_WOX4_up"
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","1/3","60/11892",0.0166666666666667,66.0666666666667,8.02605731391448,0.0150612461972223,0.0196098889324966,NA,"101254319",1,"root_cond_Vascular_WOX4_up"
"Metabolism","Metabolism of other amino acids","sly00410","beta-Alanine metabolism","1/3","60/11892",0.0166666666666667,66.0666666666667,8.02605731391448,0.0150612461972223,0.0196098889324966,NA,"101254319",1,"root_cond_Vascular_WOX4_up"
"Metabolism","Amino acid metabolism","sly00260","Glycine, serine and threonine metabolism","1/3","67/11892",0.0149253731343284,59.1641791044776,7.58384735559251,0.0168084762278542,0.0196098889324966,NA,"101254319",1,"root_cond_Vascular_WOX4_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00940","Phenylpropanoid biosynthesis","1/3","179/11892",0.00558659217877095,22.145251396648,4.52795862848205,0.0444838018688484,0.0444838018688484,NA,"101249975",1,"root_cond_Vascular_WOX4_up"
"Cellular Processes","Cell motility","sly04814","Motor proteins","1/1","80/11892",0.0125,148.65,12.1511316345433,0.00672721157080403,0.00672721157080403,NA,"101245463",1,"root_cond_Xylem_down"
"Metabolism","Biosynthesis of other secondary metabolites","sly00960","Tropane, piperidine and pyridine alkaloid biosynthesis","2/4","40/11892",0.05,148.65,17.1574369874724,6.59098209266136e-05,0.000593188388339522,0.000208136276610359,"101245061/101254319",2,"root_cond_Xylem_up"
"Metabolism","Biosynthesis of other secondary metabolites","sly00950","Isoquinoline alkaloid biosynthesis","1/4","30/11892",0.0333333333333333,99.1,9.86814362816603,0.0100539607573277,0.0335238210908017,0.0117627442423866,"101254319",1,"root_cond_Xylem_up"
"Metabolism","Amino acid metabolism","sly00350","Tyrosine metabolism","1/4","53/11892",0.0188679245283019,56.0943396226415,7.37347468218412,0.0177105062919342,0.0335238210908017,0.0117627442423866,"101254319",1,"root_cond_Xylem_up"
"Metabolism","Amino acid metabolism","sly00360","Phenylalanine metabolism","1/4","60/11892",0.0166666666666667,49.55,6.91545191579946,0.0200319186867646,0.0335238210908017,0.0117627442423866,"101254319",1,"root_cond_Xylem_up"
"Metabolism","Metabolism of other amino acids","sly00410","beta-Alanine metabolism","1/4","60/11892",0.0166666666666667,49.55,6.91545191579946,0.0200319186867646,0.0335238210908017,0.0117627442423866,"101254319",1,"root_cond_Xylem_up"
"Metabolism","Amino acid metabolism","sly00260","Glycine, serine and threonine metabolism","1/4","67/11892",0.0149253731343284,44.3731343283582,6.53043965858419,0.0223492140605345,0.0335238210908017,0.0117627442423866,"101254319",1,"root_cond_Xylem_up"
"Cellular Processes","Transport and catabolism","sly04144","Endocytosis","1/4","167/11892",0.00598802395209581,17.8023952095808,4.01104738346162,0.0550068033679495,0.0707230329016494,0.0248150992637366,"101268402",1,"root_cond_Xylem_up"
"Environmental Information Processing","Signal transduction","sly04016","MAPK signaling pathway - plant","1/4","193/11892",0.00518134715025907,15.4041450777202,3.70063760695732,0.0633620586664092,0.0712823159997104,0.0250113389472668,"101245906",1,"root_cond_Xylem_up"
